,k,iteration,H,converged,R1,R2,R3,R4
0,0,0,7.9187727,,1.0305605,3.2089322,-5.9258494,35.207924
1,1,50,9.91924,,1.5537102,8.831323,-4.5053616,24.231787
2,1,100,10.991705,,1.4899184,14.454729,-3.8968942,21.61716
3,1,150,11.457876,,1.2549679,19.124744,-3.8537433,22.145956
4,1,200,11.616281,,1.2371091,19.481651,-3.9291902,23.226065
5,1,250,11.642678,,0.97715527,19.60169,-3.744913,21.934725
6,1,300,11.661155,,0.9491917,19.207697,-3.800346,22.410135
7,1,350,11.673939,,1.2075471,19.02271,-3.5089462,20.421928
8,1,400,11.740158,,1.5231407,22.417242,-3.650694,21.90615
9,1,450,11.7067585,,1.2254078,19.27808,-3.8412156,22.638138
10,1,500,11.7161045,,1.2514105,19.502716,-3.7356753,22.30916
11,1,550,11.742738,,1.1029767,19.289204,-3.9557319,22.930737
12,1,600,11.70803,,1.2647684,19.839449,-3.7214053,22.082335
13,1,650,11.647672,,1.1431631,18.102665,-3.5049794,20.274487
14,1,700,11.706234,,1.181361,18.845428,-3.524345,21.165655
15,1,750,11.732927,,1.5628393,18.545818,-3.8037755,21.972315
16,1,800,11.723431,,1.5772372,19.813002,-3.6653073,21.880793
17,1,850,11.698047,,0.96798366,17.831768,-3.8805647,22.56176
18,1,900,11.680118,,1.1910888,19.026463,-3.5822234,20.925043
19,1,950,11.744146,,1.2668992,19.828535,-3.726104,21.7508
20,1,1000,11.664179,0,1.1861813,18.916397,-3.4384542,20.305523
21,2,1050,10.983226,,0.26662287,9.629917,-2.2569394,13.949557
22,2,1100,10.962847,,0.17205289,8.726742,-1.9154496,11.701853
23,2,1150,11.028831,,0.026347669,9.537938,-2.197712,13.079591
24,2,1200,11.046252,,0.045223456,9.773969,-2.2329235,13.675063
25,2,1250,10.765276,,0.09172841,7.9752483,-1.5289545,11.008291
26,2,1300,10.894172,,-0.08823761,9.504359,-1.9559917,11.582111
27,2,1350,10.943191,,0.33003843,9.599475,-1.8394704,11.290541
28,2,1400,10.973148,,0.24559695,9.54847,-2.0360184,12.704022
29,2,1450,11.024548,,0.016660366,8.724991,-2.257863,12.993543
30,2,1500,10.923954,,0.21549909,9.144177,-1.8345418,11.059185
31,2,1550,10.988659,,0.061034925,9.076243,-2.093782,12.122649
32,2,1600,10.945785,,0.100875236,8.858286,-2.0152507,12.0428915
33,2,1650,10.907948,,0.12188981,8.300319,-1.9080119,11.200705
34,2,1700,10.9637165,,0.040653788,8.83387,-1.871048,11.362967
35,2,1750,11.021623,,0.4357366,8.735909,-2.2168245,12.767888
36,2,1800,10.900403,,0.30180192,8.526317,-1.811235,11.171143
37,2,1850,10.748239,,0.1140971,7.6802483,-1.7468209,10.127896
38,2,1900,10.920399,,0.11209135,8.3349905,-1.9413095,11.307228
39,2,1950,11.008356,,0.1528314,9.698236,-1.9347892,10.923299
40,2,2000,10.953066,0,-0.12443595,8.994657,-1.9203191,11.888844
41,3,2050,10.1222105,,0.04930453,4.795577,-0.9390664,6.713313
42,3,2100,10.0734415,,-0.045654755,4.0938745,-0.95342875,6.472451
43,3,2150,10.103321,,-0.064776085,4.2800703,-0.92746925,6.4489484
44,3,2200,10.171683,,-0.055897053,4.7450438,-1.1112032,7.430445
45,3,2250,10.066095,,-0.0015583839,4.239751,-0.88642836,6.497644
46,3,2300,10.07345,,-0.099731244,4.558591,-0.8672466,6.2554855
47,3,2350,10.06418,,0.014897866,4.5966725,-0.9690399,6.788789
48,3,2400,10.026921,,0.049149796,3.6926749,-0.8400321,6.0076537
49,3,2450,10.145114,,-0.049852695,4.0615788,-1.0521736,6.090561
50,3,2500,9.99736,,0.021341981,4.0898986,-0.7293892,5.171008
51,3,2550,10.127511,,-0.13063659,3.9856367,-1.0034127,6.2426505
52,3,2600,10.106521,,-0.22278683,4.123258,-1.0102277,5.931635
53,3,2650,10.09233,,-0.094582625,4.4495807,-1.0177002,6.6577764
54,3,2700,10.040786,,-0.038543023,4.3989496,-0.7903023,6.005552
55,3,2750,10.058313,,0.25556064,4.3011107,-0.9567056,5.7780647
56,3,2800,9.996597,,0.20717503,4.187624,-0.7591858,5.6835055
57,3,2850,10.015432,,-0.058150038,4.015175,-0.9518175,5.3796315
58,3,2900,10.037564,,-0.11873586,3.7582326,-0.869442,5.9589243
59,3,2950,10.198788,,0.0068834145,4.73319,-1.1030388,5.9939723
60,3,3000,10.119805,0,-0.1928269,4.1677074,-1.0501919,6.4601827
61,4,3050,9.673286,,-0.14199392,2.9649987,-0.38771725,5.0255756
62,4,3100,9.882039,,-0.03570728,3.445547,-0.7019439,4.879147
63,4,3150,9.737496,,-0.061506808,3.1361332,-0.5577769,4.29125
64,4,3200,9.735125,,-0.12986521,2.8727949,-0.51805115,4.5241365
65,4,3250,9.798736,,0.069572896,3.2079268,-0.65500546,4.3049645
66,4,3300,9.637356,,-0.0829401,2.8565586,-0.41508484,4.1216474
67,4,3350,9.636448,,0.08147517,2.850756,-0.44819927,3.8790443
68,4,3400,9.605023,,0.115994126,2.8565784,-0.46834946,3.7420957
69,4,3450,9.760028,,-0.03159839,3.2275004,-0.57991886,4.0951777
70,4,3500,9.806156,,-0.077088535,3.5001233,-0.55762434,3.4532273
71,4,3550,9.614185,,-0.07444371,2.8082967,-0.4446473,3.2107866
72,4,3600,9.690132,,0.05431446,2.976533,-0.5320959,3.7577946
73,4,3650,9.660449,,-0.111744426,3.2133796,-0.5372629,3.6791432
74,4,3700,9.625495,,0.072534464,2.7810802,-0.62282753,3.9504087
75,4,3750,9.60854,,0.031377956,2.9397497,-0.42165852,3.018456
76,4,3800,9.718631,,0.010109234,2.5616806,-0.48710632,3.3684316
77,4,3850,9.806551,,0.011109288,3.2958128,-0.60084724,3.6789243
78,4,3900,8.725086,,-0.03654659,3.2461703,-0.58676624,2.7346714
79,4,3950,9.525012,,-0.08659067,2.755063,-0.73382664,4.3949227
80,4,4000,9.660306,0,-0.07975208,3.0699694,-0.67215824,4.550085
